obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""124.2928""","=""0.0010""","=""124.2929""","=""0.0008""","=""110000""","=""4.5e+08""",B+,"=""0.000000""","=""9.97516""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s.5p2""","=""2P""","=""1/2""",2,2,,"=""T8718""","=""L18891""",
"=""128.5659""","=""0.0007""","=""128.5655""","=""0.0003""","=""31000""","=""""",,"=""5.7608378""","=""15.404499""","=""5s.5p2""","=""4P""","=""1/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""3/2""",2,4,,"=""""","=""L18891""",
"=""129.0871""","=""0.0010""","=""129.0875""","=""0.0005""","=""200000""","=""2.95e+09""",B+,"=""0.5271181""","=""10.13178""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s.5p2""","=""2P""","=""3/2""",4,4,,"=""T8718""","=""L18891""",
"=""130.3902""","=""0.0014""","=""130.3912""","=""0.0007""","=""37000H""","=""9.e+08""",D+,"=""5.7608378""","=""15.26947""","=""5s.5p2""","=""4P""","=""1/2""","=""5p3""","=""4S*""","=""3/2""",2,4,,"=""T9352""","=""L18891""",
"=""131.2275""","=""0.0010""","=""131.2274""","=""0.0007""","=""210000""","=""1.77e+09""",B+,"=""0.5271181""","=""9.97516""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s.5p2""","=""2P""","=""1/2""",4,2,,"=""T8718""","=""L18891""",
"=""131.3087""","=""0.0014""","=""131.3087""","=""0.0014""","=""100000bl(Sn III)""","=""2.0e+09""",D+,"=""5.9968906""","=""15.43908?""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""1/2""",4,2,,"=""T9352""","=""L18891""",
"=""131.6572""","=""0.0010""","=""131.6581""","=""0.0005""","=""210000""","=""2.14e+09""",B+,"=""0.000000""","=""9.41713""","=""5s2.5p""","=""2P*""","=""1/2""","=""5s.5p2""","=""2S""","=""1/2""",2,2,,"=""T8718""","=""L18891""",
"=""131.7907""","=""0.0007""","=""131.7914""","=""0.0003""","=""86000""","=""1.3e+09""",D+,"=""5.9968906""","=""15.404499""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
"=""132.7669""","=""0.0014""","=""132.7668""","=""0.0011""","=""33000H""","=""""",,"=""5.9968906""","=""15.33538""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""5/2""",4,6,,"=""""","=""L18891""",
"=""133.7103""","=""0.0014""","=""133.7105""","=""0.0007""","=""67000h""","=""1.3e+09""",D+,"=""5.9968906""","=""15.26947""","=""5s.5p2""","=""4P""","=""3/2""","=""5p3""","=""4S*""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
"=""135.3843""","=""0.0014""","=""135.3848""","=""0.0005""","=""13000H""","=""3.6e+08""",D+,"=""7.2957486""","=""16.45366""","=""5s.5p2""","=""2D""","=""3/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""5/2""",4,6,,"=""T9352""","=""L18891""",
"=""135.8707""","=""0.0014""","=""135.8695""","=""0.0009""","=""58000h""","=""1.9e+09""",D+,"=""5.7608378""","=""14.88608?""","=""5s.5p2""","=""4P""","=""1/2""","=""5s.5p.(3P*).5d""","=""4D*""","=""3/2""",2,4,,"=""T9352""","=""L18891""",
"=""136.0226""","=""0.0020""","=""136.0233""","=""0.0011""","=""120000H,bl(Sn III)*""","=""3.3e+09""",D+,"=""5.7608378""","=""14.87576?""","=""5s.5p2""","=""4P""","=""1/2""","=""5s.5p.(3P*).5d""","=""4D*""","=""1/2""",2,2,,"=""T9352""","=""L18891""",
"=""136.0226""","=""0.0020""","=""136.0259""","=""0.0004""","=""200000H,bl(Sn III)*""","=""7.5e+08""",D+,"=""6.2897462""","=""15.404499""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""3/2""",6,4,,"=""T9352""","=""L18891""",
"=""136.3799""","=""0.0007""","=""136.3798""","=""0.0004""","=""93000""","=""3.6e+09""",D+,"=""7.2957486""","=""16.38685""","=""5s.5p2""","=""2D""","=""3/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
"=""136.5282""","=""0.0014""","=""136.5295""","=""0.0006""","=""100000H""","=""3.4e+09""",D+,"=""7.3725320""","=""16.45366""","=""5s.5p2""","=""2D""","=""5/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""5/2""",6,6,,"=""T9352""","=""L18891""",
"=""137.0651""","=""0.0014""","=""137.0652""","=""0.0009""","=""100000H,bl(Sn III)""","=""2.1e+09""",D+,"=""6.2897462""","=""15.33538""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.(3P*).5d""","=""4P*""","=""5/2""",6,6,,"=""T9352""","=""L18891""",
"=""137.5416""","=""0.0007""","=""137.5415""","=""0.0006""","=""46000""","=""1.8e+08""",D+,"=""7.3725320""","=""16.38685""","=""5s.5p2""","=""2D""","=""5/2""","=""5s.5p.(1P*).5d""","=""2D*""","=""3/2""",6,4,,"=""T9352""","=""L18891""",
"=""138.0704""","=""0.0014""","=""138.0712""","=""0.0008""","=""68000H""","=""2.3e+09""",D+,"=""6.2897462""","=""15.26947""","=""5s.5p2""","=""4P""","=""5/2""","=""5p3""","=""4S*""","=""3/2""",6,4,,"=""T9352""","=""L18891""",
"=""139.1100""","=""0.0007""","=""139.1103""","=""0.0006""","=""130000s""","=""2.3e+09""",D+,"=""5.9968906""","=""14.90955""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(3P*).5d""","=""4D*""","=""5/2""",4,6,,"=""T9352""","=""L18891""",
"=""139.3510""","=""0.0020""","=""139.3509""","=""0.0019""","=""130000H""","=""3.1e+09""",D+,"=""6.2897462""","=""15.18701?""","=""5s.5p2""","=""4P""","=""5/2""","=""5s.5p.(3P*).5d""","=""4D*""","=""7/2""",6,8,,"=""T9352""","=""L18891""",
"=""139.4667""","=""0.0019""","=""139.4646""","=""0.0008""","=""62000""","=""7.e+06""",E,"=""0.5271181""","=""9.41713""","=""5s2.5p""","=""2P*""","=""3/2""","=""5s.5p2""","=""2S""","=""1/2""",4,2,,"=""T8718""","=""L17864,L18891""",
"=""139.4764""","=""0.0014""","=""139.4776""","=""0.0010""","=""19000H""","=""1.0e+09""",D+,"=""5.9968906""","=""14.88608?""","=""5s.5p2""","=""4P""","=""3/2""","=""5s.5p.(3P*).5d""","=""4D*""","=""3/2""",4,4,,"=""T9352""","=""L18891""",
