conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4s,a 6D,3.5,8.0,0.047708,0.047708,25988.39185,0.002151,1.7424e-08,1.7424e-07,4.6243e-10
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d7,a 4F,4.5,10.0,0.232173,0.232173,5340.16921,0.00013,5.5579e-11,5.5579e-10,1.4751e-12
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d7,a 4F,3.5,8.0,0.301299,0.301299,4114.99445,4.2e-05,8.5298e-12,8.5298e-11,2.2638e-13
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4s,a 4D,3.5,8.0,0.986334,0.986334,1257.02068,0.00553,1.048e-10,1.048e-09,2.7814e-12
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3H).4s,a 4H,4.5,10.0,2.675779,2.675779,463.35735,0.0071,2.2853e-11,2.2853e-10,6.0653e-13
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3F2).4s,b 4F,4.5,10.0,2.806654,2.806654,441.75084,0.476,1.3926e-09,1.3926e-08,3.6959e-11
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3F2).4s,b 4F,3.5,8.0,2.828122,2.828122,438.39756,0.0605,1.3946e-10,1.3946e-09,3.7012e-12
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.4s2,a 6S,2.5,6.0,2.891018,2.891018,428.85996,1.55,2.5643e-09,2.5643e-08,6.8057e-11
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3G).4s,a 4G,4.5,10.0,3.199453,3.199453,387.51689,0.0138,3.1068e-11,3.1068e-10,8.2456e-13
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3G).4s,a 4G,3.5,8.0,3.221313,3.221313,384.8871,0.0021,3.7311e-12,3.7311e-11,9.9023e-14
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3G).4s,b 2G,4.5,10.0,3.767699,3.767699,329.07136,0.00052,8.442e-13,8.442e-12,2.2405e-14
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3D).4s,b 4D,3.5,8.0,3.903419,3.903419,317.62974,0.232,2.8072e-10,2.8072e-09,7.4504e-12
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d7,b 2F,3.5,8.0,3.967376,3.967376,312.50929,0.00055,6.4423e-13,6.4423e-12,1.7098e-14
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(1G2).4s,c 2G,4.5,10.0,4.149316,4.149316,298.80632,0.0025,3.3464e-12,3.3464e-11,8.8814e-14
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 6D*,4.5,10.0,4.768307,4.768307,260.01721,235000000.0,0.23819,2.3819,0.0063217
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 6D*,3.5,8.0,4.793236,4.793236,258.66493,89400000.0,0.07174,0.7174,0.001904
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 6F*,5.5,12.0,5.203377,5.203377,238.27639,313000000.0,0.3197,3.197,0.0084849
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 6F*,4.5,10.0,5.221574,5.221574,237.446,42500000.0,0.035923,0.35923,0.00095341
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 6P*,3.5,8.0,5.288948,5.288948,234.42127,173000000.0,0.11402,1.1402,0.0030262
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 4F*,4.5,10.0,5.484136,5.484136,226.07791,3180000.0,0.0024367,0.024367,6.467e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).4p,z 4D*,3.5,8.0,5.510714,5.510714,224.98754,3000000.0,0.0018213,0.018213,4.8338e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3F2).4p,y 4F*,3.5,8.0,7.695145,7.695145,161.12004,4400000.0,0.0013699,0.013699,3.6358e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(6S).4s.4p.(3P*),y 6P*,3.5,8.0,7.708299,7.708299,160.84508,191000000.0,0.059265,0.59265,0.0015729
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(3F2).4p,x 4D*,3.5,8.0,7.804191,7.804191,158.86874,500000.0,0.00015135,0.0015135,4.017e-06
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(6S).4s.4p.(1P*),x 6P*,3.5,8.0,9.835835,9.835835,126.05355,110000000.0,0.020963,0.20963,0.00055636
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4G).4s.4p.(3P*),y 6F*,5.5,12.0,10.828889,10.828889,114.49392,350000000.0,0.082542,0.82542,0.0021907
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4G).4s.4p.(3P*),y 6F*,4.5,10.0,10.84512,10.84512,114.32257,100000000.0,0.019594,0.19594,0.00052003
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4G).4s.4p.(3P*),y 6F*,3.5,8.0,10.853285,10.853285,114.23656,26000000.0,0.0040694,0.040694,0.000108
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4P).4s.4p.(3P*),6D*,3.5,8.0,10.936579,10.936579,113.36652,31000000.0,0.0047784,0.047784,0.00012682
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).5p,6D*,4.5,10.0,11.000299,11.000299,112.70984,6000000.0,0.0011427,0.011427,3.0327e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).5p,6D*,3.5,8.0,11.016434,11.016434,112.54476,100000000.0,0.015191,0.15191,0.00040318
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4P).4s.4p.(3P*),6P*,3.5,8.0,11.050534,11.050534,112.19747,190000000.0,0.028686,0.28686,0.00076133
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).5p,6F*,5.5,12.0,11.149174,11.149174,111.20483,20000000.0,0.0044496,0.044496,0.00011809
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d6.(5D).5p,w 6P*,3.5,8.0,11.303384,11.303384,109.68769,230000000.0,0.033189,0.33189,0.00088083
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4D).4s.4p.(3P*),6F*,4.5,10.0,11.443775,11.443775,108.34205,16000000.0,0.0028156,0.028156,7.4726e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4D).4s.4p.(3P*),6F*,5.5,12.0,11.46012,11.46012,108.18753,60000000.0,0.012634,0.12634,0.00033531
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4D).4s.4p.(3P*),6D*,3.5,8.0,11.652959,11.652959,106.39718,35000000.0,0.004752,0.04752,0.00012612
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4D).4s.4p.(3P*),6D*,4.5,10.0,11.661672,11.661672,106.31769,320000000.0,0.054228,0.54228,0.0014392
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4G).4s.4p.(3P*),w 4G*,4.5,10.0,11.672913,11.672913,106.21531,17000000.0,0.0028753,0.028753,7.631e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4D).4s.4p.(3P*),6P*,3.5,8.0,11.749142,11.749142,105.52618,46000000.0,0.0061437,0.061437,0.00016305
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4F).4s.4p.(3P*),6F*,5.5,12.0,13.222847,13.222847,93.76513,44000000.0,0.0069595,0.069595,0.0001847
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4F).4s.4p.(3P*),6D*,3.5,8.0,13.376267,13.376267,92.68969,32000000.0,0.0032973,0.032973,8.7511e-05
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(4F).4s.4p.(3P*),6D*,4.5,10.0,13.386158,13.386158,92.6212,260000000.0,0.033439,0.33439,0.00088747
3d6.(5D).4s,a 6D,4.5,10.0,0.0,3d5.(2F1).4s.4p.(3P*),4D*,3.5,8.0,13.419972,13.419972,92.38782,28000000.0,0.0028664,0.028664,7.6074e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4s,a 6D,2.5,6.0,0.082782,0.035075,35348.71343,0.00158,2.2199e-08,1.7759e-07,5.8915e-10
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 4F,4.5,10.0,0.232173,0.184465,6721.27632,1.16e-05,9.8204e-12,7.8564e-11,2.6063e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 4F,3.5,8.0,0.301299,0.253591,4889.13936,9.3e-05,3.3328e-11,2.6662e-10,8.8452e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 4F,2.5,6.0,0.351865,0.304157,4076.31929,3.3e-05,6.1655e-12,4.9324e-11,1.6363e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4s,a 4D,3.5,8.0,0.986334,0.938626,1320.91123,0.001782,4.6614e-11,3.7291e-10,1.2371e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4s,a 4D,2.5,6.0,1.04047,0.992762,1248.88097,0.000356,6.2433e-12,4.9946e-11,1.657e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 4P,2.5,6.0,1.670619,1.622911,763.96177,0.00528,3.465e-11,2.772e-10,9.196e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 4P,1.5,4.0,1.695261,1.647554,752.53507,0.0001,4.2451e-13,3.396e-12,1.1266e-14
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d7,a 2D2,2.5,6.0,2.543778,2.49607,496.71754,0.033,9.1549e-11,7.3239e-10,2.4297e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3P2).4s,b 4P,2.5,6.0,2.582659,2.534952,489.09881,0.417,1.1216e-09,8.9731e-09,2.9768e-11
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3H).4s,a 4H,4.5,10.0,2.675779,2.628072,471.7687,0.00088,3.6704e-12,2.9363e-11,9.7412e-14
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3H).4s,a 4H,3.5,8.0,2.691932,2.644225,468.8868,0.0018,5.9329e-12,4.7463e-11,1.5746e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3F2).4s,b 4F,4.5,10.0,2.806654,2.758947,449.38957,0.082,3.1033e-10,2.4827e-09,8.2363e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3F2).4s,b 4F,3.5,8.0,2.828122,2.780415,445.91977,0.318,9.4798e-10,7.5839e-09,2.5159e-11
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3F2).4s,b 4F,2.5,6.0,2.844117,2.79641,443.36924,0.06,1.3262e-10,1.0609e-09,3.5197e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.4s2,a 6S,2.5,6.0,2.891018,2.843311,436.05574,1.15,2.4587e-09,1.9669e-08,6.5253e-11
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3G).4s,a 4G,4.5,10.0,3.199453,3.151745,393.38268,0.0028,8.12e-12,6.496e-11,2.1551e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3G).4s,a 4G,3.5,8.0,3.221313,3.173606,390.67295,0.009,2.0593e-11,1.6475e-10,5.4655e-13
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3D).4s,b 4D,2.5,6.0,3.891613,3.843906,322.54744,0.035,4.0943e-11,3.2754e-10,1.0866e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3D).4s,b 4D,3.5,8.0,3.903419,3.855712,321.55984,0.079,1.2246e-10,9.7972e-10,3.2502e-12
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6D*,4.5,10.0,4.768307,4.7206,262.645,35200000.0,0.045504,0.36403,0.0012077
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6D*,3.5,8.0,4.793236,4.745528,261.26533,120000000.0,0.1228,0.98241,0.0032592
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6D*,2.5,6.0,4.817898,4.770191,259.91455,143000000.0,0.10862,0.86898,0.0028828
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6F*,4.5,10.0,5.221574,5.173867,239.63546,259000000.0,0.27872,2.2298,0.0073973
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6F*,3.5,8.0,5.236728,5.18902,238.93566,105000000.0,0.089869,0.71895,0.0023851
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6F*,2.5,6.0,5.248852,5.201144,238.3787,9400000.0,0.006006,0.048048,0.0001594
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6P*,3.5,8.0,5.288948,5.241241,236.55505,59000000.0,0.049497,0.39597,0.0013136
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 6P*,2.5,6.0,5.360904,5.313196,233.35143,131000000.0,0.080207,0.64166,0.0021287
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 4F*,4.5,10.0,5.484136,5.436428,228.06186,4490000.0,0.0043764,0.035012,0.00011615
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 4D*,3.5,8.0,5.510714,5.463006,226.95232,400000.0,0.00030888,0.002471,8.1977e-06
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 4F*,3.5,8.0,5.548766,5.501059,225.38243,4400000.0,0.0033508,0.026807,8.8931e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).4p,z 4D*,2.5,6.0,5.552606,5.504898,225.22523,1000000.0,0.00057037,0.0045629,1.5138e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(6S).4s.4p.(3P*),y 6P*,2.5,6.0,7.693101,7.645393,162.16851,132000000.0,0.039033,0.31226,0.0010359
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(3F2).4p,y 4F*,3.5,8.0,7.695145,7.647437,162.12516,1100000.0,0.00043346,0.0034677,1.1504e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(6S).4s.4p.(3P*),y 6P*,3.5,8.0,7.708299,7.660591,161.84677,55300000.0,0.021717,0.17373,0.00057636
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(6S).4s.4p.(1P*),x 6P*,2.5,6.0,9.830077,9.78237,126.7425,80000000.0,0.01445,0.1156,0.00038349
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(6S).4s.4p.(1P*),x 6P*,3.5,8.0,9.835835,9.788128,126.66794,31000000.0,0.0074568,0.059655,0.0001979
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4G).4s.4p.(3P*),y 6F*,4.5,10.0,10.84512,10.797412,114.8277,330000000.0,0.081541,0.65233,0.0021641
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4G).4s.4p.(3P*),y 6F*,3.5,8.0,10.853285,10.805577,114.74093,120000000.0,0.023685,0.18948,0.00062861
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4G).4s.4p.(3P*),y 6F*,2.5,6.0,10.857663,10.809956,114.69446,44000000.0,0.0065082,0.052065,0.00017273
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4P).4s.4p.(3P*),6D*,3.5,8.0,10.936579,10.888872,113.86322,55000000.0,0.01069,0.085522,0.00028372
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4P).4s.4p.(3P*),6D*,4.5,10.0,10.986801,10.939093,113.34047,26000000.0,0.0062591,0.050073,0.00016612
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,6D*,4.5,10.0,11.000299,10.952592,113.20078,7000000.0,0.001681,0.013448,4.4614e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,6D*,3.5,8.0,11.016434,10.968727,113.03427,9000000.0,0.0017239,0.013792,4.5753e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,6D*,2.5,6.0,11.049404,11.001696,112.69553,55000000.0,0.0078541,0.062833,0.00020845
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4P).4s.4p.(3P*),6P*,3.5,8.0,11.050534,11.002827,112.68395,63000000.0,0.011993,0.095943,0.00031829
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4P).4s.4p.(3P*),6P*,2.5,6.0,11.089699,11.041992,112.28427,180000000.0,0.025517,0.20414,0.00067722
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,6F*,4.5,10.0,11.206502,11.158794,111.10896,5000000.0,0.0011567,0.009254,3.07e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,w 6P*,3.5,8.0,11.303384,11.255676,110.1526,45000000.0,0.0081858,0.065486,0.00021725
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d6.(5D).5p,w 6P*,2.5,6.0,11.353871,11.306164,109.66071,150000000.0,0.020282,0.16226,0.00053829
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6F*,3.5,8.0,11.425659,11.377951,108.96882,31000000.0,0.0055186,0.044148,0.00014646
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6F*,4.5,10.0,11.443775,11.396067,108.7956,48000000.0,0.010647,0.085177,0.00028258
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6D*,2.5,6.0,11.633556,11.585849,107.01348,27000000.0,0.0034767,0.027813,9.227e-05
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6D*,3.5,8.0,11.652959,11.605252,106.83456,160000000.0,0.027378,0.21902,0.00072661
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6D*,4.5,10.0,11.661672,11.613964,106.75442,80000000.0,0.017086,0.13669,0.00045345
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6P*,2.5,6.0,11.739454,11.691747,106.04421,120000000.0,0.015173,0.12139,0.0004027
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4D).4s.4p.(3P*),6P*,3.5,8.0,11.749142,11.701434,105.95641,32000000.0,0.005386,0.043088,0.00014294
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4F).4s.4p.(3P*),6F*,4.5,10.0,13.219769,13.172062,94.12664,70000000.0,0.011622,0.092979,0.00030846
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4F).4s.4p.(3P*),6D*,3.5,8.0,13.376267,13.328559,93.02145,70000000.0,0.0090808,0.072646,0.000241
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4F).4s.4p.(3P*),6D*,4.5,10.0,13.386158,13.33845,92.95248,34000000.0,0.0055052,0.044041,0.00014611
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(4F).4s.4p.(3P*),6D*,2.5,6.0,13.406479,13.358771,92.81108,100000000.0,0.0096855,0.077484,0.00025705
3d6.(5D).4s,a 6D,3.5,8.0,0.047708,3d5.(2F1).4s.4p.(3P*),4D*,3.5,8.0,13.419972,13.372265,92.71743,70000000.0,0.0090215,0.072172,0.00023943
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4s,a 6D,1.5,4.0,0.10695,0.024168,51300.76357,0.000721,1.8965e-08,1.1379e-07,5.0333e-10
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4F,3.5,8.0,0.301299,0.218516,5673.90686,1.6e-05,1.0296e-11,6.1778e-11,2.7326e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4F,2.5,6.0,0.351865,0.269083,4607.66265,5.5e-05,1.7506e-11,1.0504e-10,4.6461e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4F,1.5,4.0,0.386519,0.303737,4081.95794,1.44e-05,2.3981e-12,1.4389e-11,6.3646e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4s,a 4D,3.5,8.0,0.986334,0.903552,1372.18714,0.00097,3.6509e-11,2.1905e-10,9.6894e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4s,a 4D,2.5,6.0,1.04047,0.957688,1294.62031,0.00213,5.3521e-11,3.2113e-10,1.4204e-12
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4s,a 4D,1.5,4.0,1.076241,0.993459,1248.00511,6.9e-05,1.0741e-12,6.4447e-12,2.8507e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4P,2.5,6.0,1.670619,1.587836,780.83735,0.00019,1.7367e-12,1.042e-11,4.6093e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4P,1.5,4.0,1.695261,1.612479,768.90419,0.00541,3.1968e-11,1.9181e-10,8.4842e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 4P,0.5,2.0,1.723983,1.641201,755.44806,0.00021,5.9892e-13,3.5935e-12,1.5895e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3P2).4s,b 4P,2.5,6.0,2.582659,2.499877,495.96113,0.0064,2.3601e-11,1.4161e-10,6.2638e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d7,a 2D2,1.5,4.0,2.641855,2.559073,484.4887,0.0016,3.7537e-12,2.2522e-11,9.9622e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3P2).4s,b 4P,1.5,4.0,2.704349,2.621567,472.9393,0.586,1.31e-09,7.8601e-09,3.4768e-11
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3F2).4s,b 4F,3.5,8.0,2.828122,2.74534,451.61686,0.0742,3.0251e-10,1.8151e-09,8.0287e-12
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3F2).4s,b 4F,2.5,6.0,2.844117,2.761335,449.00094,0.163,4.9265e-10,2.9559e-09,1.3075e-11
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3F2).4s,b 4F,1.5,4.0,2.855515,2.772733,447.1552,0.035,6.9944e-11,4.1967e-10,1.8563e-12
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d5.4s2,a 6S,2.5,6.0,2.891018,2.808236,441.50204,0.85,2.484e-09,1.4904e-08,6.5924e-11
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3P2).4s,b 2P,1.5,4.0,3.197253,3.11447,398.09078,0.0081,1.283e-11,7.6978e-11,3.405e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3G).4s,a 4G,3.5,8.0,3.221313,3.138531,395.03891,0.0025,7.7986e-12,4.6792e-11,2.0698e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3G).4s,a 4G,2.5,6.0,3.230459,3.147677,393.89108,0.0027,6.2802e-12,3.7681e-11,1.6668e-13
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3D).4s,b 4D,1.5,4.0,3.888697,3.805915,325.76715,0.0017,1.8031e-12,1.0819e-11,4.7856e-14
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3D).4s,b 4D,2.5,6.0,3.891613,3.808831,325.5177,0.131,2.081e-10,1.2486e-09,5.5231e-12
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(3D).4s,b 4D,3.5,8.0,3.903419,3.820637,324.51186,0.032,6.7361e-11,4.0417e-10,1.7878e-12
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6D*,3.5,8.0,4.793236,4.710454,263.21074,62900000.0,0.087108,0.52265,0.0023118
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6D*,2.5,6.0,4.817898,4.735116,261.83983,48800000.0,0.050159,0.30096,0.0013312
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6D*,1.5,4.0,4.837022,4.75424,260.78657,173000000.0,0.11759,0.70556,0.0031209
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6F*,3.5,8.0,5.236728,5.153946,240.56171,196000000.0,0.22673,1.3604,0.0060174
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6F*,2.5,6.0,5.248852,5.16607,239.99715,139000000.0,0.12003,0.72017,0.0031856
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6F*,1.5,4.0,5.257094,5.174312,239.61487,26700000.0,0.015322,0.09193,0.00040664
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6P*,3.5,8.0,5.288948,5.206166,238.14876,31000000.0,0.035144,0.21087,0.00093273
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6P*,2.5,6.0,5.360904,5.278122,234.90211,115000000.0,0.095133,0.5708,0.0025248
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 6P*,1.5,4.0,5.408313,5.325531,232.81098,66000000.0,0.035754,0.21452,0.0009489
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 4F*,3.5,8.0,5.548766,5.465984,226.82868,3690000.0,0.0037951,0.02277,0.00010072
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 4D*,2.5,6.0,5.552606,5.469824,226.66946,1000000.0,0.00077027,0.0046216,2.0443e-05
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(5D).4p,z 4F*,2.5,6.0,5.589195,5.506413,225.16326,3190000.0,0.0024246,0.014548,6.435e-05
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d5.(6S).4s.4p.(3P*),y 6P*,1.5,4.0,7.683912,7.60113,163.11285,69300000.0,0.018428,0.11057,0.00048908
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d5.(6S).4s.4p.(3P*),y 6P*,2.5,6.0,7.693101,7.610319,162.91591,86600000.0,0.034459,0.20675,0.00091455
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d5.(6S).4s.4p.(3P*),y 6P*,3.5,8.0,7.708299,7.625517,162.59121,10200000.0,0.00539,0.03234,0.00014305
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d6.(1D2).4p,w 2P*,1.5,4.0,9.824937,9.742155,127.26568,18000000.0,0.0029138,0.017483,7.7333e-05
3d6.(5D).4s,a 6D,2.5,6.0,0.082782,3d5.(6S).4s.4p.(1P*),x 6P*,1.5,4.0,9.825243,9.74246,127.26169,27000000.0,0.0043705,0.026223,0.00011599
