Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s2.2s""","=""2S""","=""1/2""",2,"=""""","=""0.000000""","=""""","=""0.000012""","=""L3462"""
"=""1s2.2p""","=""2P*""","=""1/2""",2,"=""""","=""1.847818""","=""""","=""0.000012""","="""""
"=""1s2.2p""","=""2P*""","=""3/2""",4,"=""""","=""1.847860""","=""""","=""0.000012""","="""""
"=""1s2.3s""","=""2S""","=""1/2""",2,"=""""","=""3.373129""","=""""","=""0.000012""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""",2,"=""""","=""3.834258""","=""""","=""0.000012""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""",4,"=""""","=""3.834258""","=""""","=""0.000012""","="""""
"=""1s2.3d""","=""2D""","=""3/2""",4,"=""""","=""3.878608""","=""""","=""0.000012""","="""""
"=""1s2.3d""","=""2D""","=""5/2""",6,"=""""","=""3.878613""","=""""","=""0.000012""","="""""
"=""1s2.4s""","=""2S""","=""1/2""",2,"=""""","=""4.340942""","=""""","=""0.000012""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""",2,"=""""","=""4.521648""","=""""","=""0.000012""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""",4,"=""""","=""4.521648""","=""""","=""0.000012""","="""""
"=""1s2.4d""","=""2D""","=""3/2""",4,"=""""","=""4.540720""","=""""","=""0.000012""","="""""
"=""1s2.4d""","=""2D""","=""5/2""",6,"=""""","=""4.540723""","=""""","=""0.000012""","="""""
"=""1s2.4f""","=""2F*""","=""5/2""",6,"=""""","=""4.54157""","=""""","=""0.00012""","="""""
"=""1s2.4f""","=""2F*""","=""7/2""",8,"=""""","=""4.54157""","=""""","=""0.00012""","="""""
"=""1s2.5s""","=""2S""","=""1/2""",2,"=""""","=""4.748533""","=""""","=""0.000012""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""",2,"=""""","=""4.837313""","=""""","=""0.000012""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""",4,"=""""","=""4.837313""","=""""","=""0.000012""","="""""
"=""1s2.5d""","=""2D""","=""3/2""",4,"=""""","=""4.847154""","=""""","=""0.000012""","="""""
"=""1s2.5d""","=""2D""","=""5/2""",6,"=""""","=""4.847155""","=""""","=""0.000012""","="""""
"=""1s2.5f""","=""2F*""","=""5/2""",6,"=""""","=""4.84834""","=""""","=""0.00012""","="""""
"=""1s2.5f""","=""2F*""","=""7/2""",8,"=""""","=""4.84834""","=""""","=""0.00012""","="""""
"=""1s2.6s""","=""2S""","=""1/2""",2,"=""""","=""4.957835""","=""""","=""0.000012""","="""""
"=""1s2.6p""","=""2P*""","=""1/2""",2,"=""""","=""5.007826""","=""""","=""0.000012""","="""""
"=""1s2.6p""","=""2P*""","=""3/2""",4,"=""""","=""5.007826""","=""""","=""0.000012""","="""""
"=""1s2.6d""","=""2D""","=""3/2""",4,"=""""","=""5.013587""","=""""","=""0.000012""","="""""
"=""1s2.6d""","=""2D""","=""5/2""",6,"=""""","=""5.013589""","=""""","=""0.000012""","="""""
"=""1s2.7s""","=""2S""","=""1/2""",2,"=""""","=""5.07937""","=""""","=""0.00012""","="""""
"=""1s2.7p""","=""2P*""","=""1/2""",2,"=""""","=""5.110300""","=""""","=""0.000012""","="""""
"=""1s2.7p""","=""2P*""","=""3/2""",4,"=""""","=""5.110300""","=""""","=""0.000012""","="""""
"=""1s2.7d""","=""2D""","=""3/2""",4,"=""""","=""5.11391""","=""""","=""0.00012""","="""""
"=""1s2.7d""","=""2D""","=""5/2""",6,"=""""","=""5.11391""","=""""","=""0.00012""","="""""
"=""1s2.8s""","=""2S""","=""1/2""",2,"=""""","=""5.15614""","=""""","=""0.00012""","="""""
"=""1s2.8p""","=""2P*""","=""1/2""",2,"=""""","=""5.176542""","=""""","=""0.000012""","="""""
"=""1s2.8p""","=""2P*""","=""3/2""",4,"=""""","=""5.176542""","=""""","=""0.000012""","="""""
"=""1s2.8d""","=""2D""","=""3/2""",4,"=""""","=""5.17898""","=""""","=""0.00012""","="""""
"=""1s2.8d""","=""2D""","=""5/2""",6,"=""""","=""5.17898""","=""""","=""0.00012""","="""""
"=""1s2.9s""","=""2S""","=""1/2""",2,"=""""","=""5.20775""","=""""","=""0.00012""","="""""
"=""1s2.9p""","=""2P*""","=""1/2""",2,"=""""","=""5.222000""","=""""","=""0.000012""","="""""
"=""1s2.9p""","=""2P*""","=""3/2""",4,"=""""","=""5.222000""","=""""","=""0.000012""","="""""
"=""1s2.9d""","=""2D""","=""3/2""",4,"=""""","=""5.22362""","=""""","=""0.00012""","="""""
"=""1s2.9d""","=""2D""","=""5/2""",6,"=""""","=""5.22362""","=""""","=""0.00012""","="""""
