obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1.7805310""","=""0.0000023""","=""""","=""1.84e+02""",C,"=""0.00000""","=""(696.3327)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
"=""""","=""1.8628151""","=""0.0000014""","=""""","=""9.365e+11""",AA,"=""0.00000""","=""(665.5744)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1.8637378""","=""0.0000015""","=""""","=""1.451e+08""",AA,"=""0.00000""","=""(665.2449)""","=""1s2""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
"=""""","=""1.8727765""","=""0.0000025""","=""""","=""3.57e+02""",C,"=""0.00000""","=""(662.0341)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T4905""","=""""",
"=""""","=""2.1601500""","=""0.0000006""","=""""","=""3.309e+12""",AA,"=""0.00000""","=""(573.9610626)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2.1801013""","=""0.0000006""","=""""","=""3.31e+05""",A,"=""0.00000""","=""(568.708437)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T1494""","=""""",
"=""""","=""2.1803634""","=""0.0000006""","=""""","=""""",,"=""0.00000""","=""(568.640052)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""""",
"=""""","=""2.2097720""","=""0.0000006""","=""""","=""1.04e+03""",AA,"=""0.00000""","=""(561.072349)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T1896""","=""""",
"=""""","=""7.89297""","=""0.00006""","=""""","=""4.61e+09""",A,"=""(568.632762)""","=""(725.7146)""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T5231LS""","=""""",
"=""""","=""7.89333""","=""0.00006""","=""""","=""6.22e+09""",A,"=""(568.640052)""","=""(725.7146)""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""7.89333""","=""0.00006""","=""""","=""3.45e+09""",A,"=""(568.640052)""","=""(725.7146)""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""7.89675""","=""0.00006""","=""""","=""8.28e+09""",A,"=""(568.708437)""","=""(725.7150)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T5231LS""","=""""",
"=""""","=""7.89677""","=""0.00006""","=""""","=""2.07e+09""",A,"=""(568.708437)""","=""(725.7146)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""7.89677""","=""0.00006""","=""""","=""2.30e+08""",A,"=""(568.708437)""","=""(725.7146)""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""8.14801""","=""0.00003""","=""""","=""7.515e+09""",AA,"=""(568.632762)""","=""(720.7978)""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""8.14839""","=""0.00003""","=""""","=""1.014e+10""",AA,"=""(568.640052)""","=""(720.7979)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""8.14840""","=""0.00003""","=""""","=""5.635e+09""",AA,"=""(568.640052)""","=""(720.7978)""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""8.15203""","=""0.00003""","=""""","=""1.351e+10""",AA,"=""(568.708437)""","=""(720.7984)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""8.15206""","=""0.00003""","=""""","=""3.377e+09""",AA,"=""(568.708437)""","=""(720.7979)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""8.15206""","=""0.00003""","=""""","=""3.752e+08""",AA,"=""(568.708437)""","=""(720.7978)""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""8.159876""","=""0.000020""","=""""","=""6.770e+09""",AA,"=""(568.899694)""","=""(720.8434)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""8.44325""","=""0.00005""","=""""","=""1.177e+10""",AA,"=""(573.9610626)""","=""(720.8052)""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""8.60942""","=""0.00010""","=""""","=""1.369e+10""",AA,"=""(568.632762)""","=""(712.6427)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""8.60984""","=""0.00010""","=""""","=""1.848e+10""",AA,"=""(568.640052)""","=""(712.6429)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""8.60986""","=""0.00010""","=""""","=""1.026e+10""",AA,"=""(568.640052)""","=""(712.6427)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""8.61385""","=""0.00010""","=""""","=""2.461e+10""",AA,"=""(568.708437)""","=""(712.6443)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""8.61393""","=""0.00010""","=""""","=""6.150e+09""",AA,"=""(568.708437)""","=""(712.6429)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""8.61395""","=""0.00010""","=""""","=""6.833e+08""",AA,"=""(568.708437)""","=""(712.6427)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""8.620643""","=""0.000022""","=""""","=""1.165e+10""",AA,"=""(568.899694)""","=""(712.7221)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""8.93916""","=""0.00009""","=""""","=""2.167e+10""",AA,"=""(573.9610626)""","=""(712.6589)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""9.61159""","=""0.00011""","=""""","=""2.958e+10""",AA,"=""(568.632762)""","=""(697.6272)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""9.61210""","=""0.00011""","=""""","=""3.993e+10""",AA,"=""(568.640052)""","=""(697.6277)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""9.61213""","=""0.00011""","=""""","=""2.218e+10""",AA,"=""(568.640052)""","=""(697.6272)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""9.61701""","=""0.00011""","=""""","=""5.323e+10""",AA,"=""(568.708437)""","=""(697.6302)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""9.61720""","=""0.00011""","=""""","=""1.329e+10""",AA,"=""(568.708437)""","=""(697.6277)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""9.61723""","=""0.00011""","=""""","=""1.476e+09""",AA,"=""(568.708437)""","=""(697.6272)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""9.61966""","=""0.00004""","=""""","=""2.250e+10""",AA,"=""(568.899694)""","=""(697.7859)""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""9.70902""","=""0.00007""","=""""","=""9.877e+08""",AA,"=""(568.632762)""","=""(696.3327)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""9.70958""","=""0.00007""","=""""","=""2.963e+09""",AA,"=""(568.640052)""","=""(696.3327)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""9.71478""","=""0.00007""","=""""","=""4.930e+09""",AA,"=""(568.708437)""","=""(696.3327)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""10.02330""","=""0.00005""","=""""","=""7.275e+06""",AA,"=""(573.9610626)""","=""(697.6570)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4f""","=""1F*""","=""3""",3,7,E2,"=""T3908""","=""""",
"=""""","=""10.02337""","=""0.00010""","=""""","=""4.772e+10""",AA,"=""(573.9610626)""","=""(697.6562)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""12.82489""","=""0.00007""","=""""","=""5.055e+10""",AA,"=""(568.899694)""","=""(665.5744)""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""12.84124""","=""0.00007""","=""""","=""1.213e+11""",AA,"=""(568.640052)""","=""(665.1916)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""12.84040""","=""0.00007""","=""""","=""8.982e+10""",AA,"=""(568.632762)""","=""(665.1906)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""12.84137""","=""0.00007""","=""""","=""6.735e+10""",AA,"=""(568.640052)""","=""(665.1906)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""12.84951""","=""0.00007""","=""""","=""1.613e+11""",AA,"=""(568.708437)""","=""(665.1979)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""12.85034""","=""0.00007""","=""""","=""4.033e+10""",AA,"=""(568.708437)""","=""(665.1916)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""12.85047""","=""0.00007""","=""""","=""4.481e+09""",AA,"=""(568.708437)""","=""(665.1906)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""12.86875""","=""0.00007""","=""""","=""6.719e+06""",AA,"=""(568.899694)""","=""(665.2449)""","=""1s.2s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",1,5,E2,"=""T3908""","=""""",
"=""""","=""13.27434""","=""0.00012""","=""""","=""2.505e+09""",AA,"=""(568.632762)""","=""(662.0341)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""13.27538""","=""0.00012""","=""""","=""7.512e+09""",AA,"=""(568.640052)""","=""(662.0341)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""13.28511""","=""0.00012""","=""""","=""1.249e+10""",AA,"=""(568.708437)""","=""(662.0341)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""13.58228""","=""0.00007""","=""""","=""1.523e+11""",AA,"=""(573.9610626)""","=""(665.2449)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""13.75401""","=""0.00013""","=""""","=""2.008e+10""",AA,"=""(573.9610626)""","=""(664.1051)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",3,1,,"=""T5997""","=""""",
"=""""","=""20.1149""","=""0.0003""","=""""","=""1.38e+09""",A,"=""(664.1051)""","=""(725.7432)""","=""1s.3s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5231""","=""""",
"=""""","=""20.51330""","=""0.00021""","=""""","=""1.38e+08""",A,"=""(665.1906)""","=""(725.6315)""","=""1s.3d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T5231LS""","=""""",
"=""""","=""20.51322""","=""0.00021""","=""""","=""3.46e+07""",A,"=""(665.1906)""","=""(725.6318)""","=""1s.3d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T5231LS""","=""""",
"=""""","=""20.51268""","=""0.00021""","=""""","=""1.38e+06""",A,"=""(665.1906)""","=""(725.6334)""","=""1s.3d""","=""3D""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T5231LS""","=""""",
"=""""","=""20.51355""","=""0.00021""","=""""","=""1.04e+08""",A,"=""(665.1916)""","=""(725.6318)""","=""1s.3d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""1""",5,3,,"=""T5231LS""","=""""",
"=""""","=""20.51302""","=""0.00021""","=""""","=""2.07e+07""",A,"=""(665.1916)""","=""(725.6334)""","=""1s.3d""","=""3D""","=""2""","=""1s.7p""","=""3P*""","=""2""",5,5,,"=""T5231LS""","=""""",
"=""""","=""20.51514""","=""0.00021""","=""""","=""1.16e+08""",A,"=""(665.1979)""","=""(725.6334)""","=""1s.3d""","=""3D""","=""3""","=""1s.7p""","=""3P*""","=""2""",7,5,,"=""T5231LS""","=""""",
"=""""","=""21.8519""","=""0.0004""","=""""","=""2.179e+09""",AA,"=""(664.1051)""","=""(720.8434)""","=""1s.3s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""22.34968""","=""0.00025""","=""""","=""2.415e+08""",AA,"=""(665.1906)""","=""(720.6654)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""22.34952""","=""0.00025""","=""""","=""6.038e+07""",AA,"=""(665.1906)""","=""(720.6658)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""22.34851""","=""0.00025""","=""""","=""2.415e+06""",AA,"=""(665.1906)""","=""(720.6683)""","=""1s.3d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""22.34991""","=""0.00025""","=""""","=""1.811e+08""",AA,"=""(665.1916)""","=""(720.6658)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""22.34891""","=""0.00025""","=""""","=""3.621e+07""",AA,"=""(665.1916)""","=""(720.6683)""","=""1s.3d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""22.35142""","=""0.00025""","=""""","=""2.028e+08""",AA,"=""(665.1979)""","=""(720.6683)""","=""1s.3d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
