conf_i,term_i,J_i,g_i,E_i_eV,conf_k,term_k,J_k,g_k,E_k_eV,dE_eV,lambda_vac_nm,Aki_s-1,f_ik,gf,sigma_int_cm2Hz
1s2,1S,0.0,1.0,0.0,1s.2p,3P*,1.0,3.0,914.80287,914.80287,1.35531,5250000000.0,0.00043373,0.00043373,1.1511e-05
1s2,1S,0.0,1.0,0.0,1s.2p,1P*,1.0,3.0,922.000555,922.000555,1.34473,8850000000000.0,0.71977,0.71977,0.019103
1s2,1S,0.0,1.0,0.0,1s.3p,3P*,1.0,3.0,1071.7672,1071.7672,1.15682,1604000000.0,9.6542e-05,9.6542e-05,2.5622e-06
1s2,1S,0.0,1.0,0.0,1s.3p,1P*,1.0,3.0,1073.7544,1073.7544,1.15468,2478000000000.0,0.1486,0.1486,0.0039437
1s2,1S,0.0,1.0,0.0,1s.4p,3P*,1.0,3.0,1126.2629,1126.2629,1.10085,684000000.0,3.7281e-05,3.7281e-05,9.8944e-07
1s2,1S,0.0,1.0,0.0,1s.4p,1P*,1.0,3.0,1127.0801,1127.0801,1.10005,1024000000000.0,0.055732,0.055732,0.0014791
1s2,1S,0.0,1.0,0.0,1s.5p,3P*,1.0,3.0,1151.3854,1151.3854,1.07683,352000000.0,1.8358e-05,1.8358e-05,4.8721e-07
1s2,1S,0.0,1.0,0.0,1s.5p,1P*,1.0,3.0,1151.7987,1151.7987,1.07644,520000000000.0,0.0271,0.0271,0.00071922
1s2,1S,0.0,1.0,0.0,1s.6p,3P*,1.0,3.0,1164.9986,1164.9986,1.06424,206700000.0,1.0529e-05,1.0529e-05,2.7945e-07
1s2,1S,0.0,1.0,0.0,1s.6p,1P*,1.0,3.0,1165.2362,1165.2362,1.06403,301000000000.0,0.015327,0.015327,0.00040677
1s.2s,3S,1.0,3.0,905.0621,1s.2p,3P*,0.0,1.0,914.765595,9.703495,127.77272,103200000.0,0.0084197,0.025259,0.00022346
1s.2s,3S,1.0,3.0,905.0621,1s.2p,3P*,1.0,3.0,914.80287,9.74077,127.28378,104400000.0,0.025357,0.076072,0.00067299
1s.2s,3S,1.0,3.0,905.0621,1s.2p,3P*,2.0,5.0,914.995993,9.933893,124.80928,110700000.0,0.043087,0.12926,0.0011435
1s.2s,3S,1.0,3.0,905.0621,1s.3p,3P*,0.0,1.0,1071.7548,166.6927,7.43789,146100000000.0,0.040391,0.12117,0.001072
1s.2s,3S,1.0,3.0,905.0621,1s.3p,3P*,1.0,3.0,1071.7672,166.7051,7.43734,146100000000.0,0.12116,0.36347,0.0032155
1s.2s,3S,1.0,3.0,905.0621,1s.3p,3P*,2.0,5.0,1071.8243,166.7622,7.43479,146300000000.0,0.20206,0.60619,0.0053628
1s.2s,3S,1.0,3.0,905.0621,1s.4p,3P*,0.0,1.0,1126.2575,221.1954,5.60519,64900000000.0,0.01019,0.030569,0.00027044
1s.2s,3S,1.0,3.0,905.0621,1s.4p,3P*,1.0,3.0,1126.2629,221.2008,5.60505,64900000000.0,0.030568,0.091703,0.00081127
1s.2s,3S,1.0,3.0,905.0621,1s.4p,3P*,2.0,5.0,1126.287,221.2249,5.60444,64900000000.0,0.050935,0.15281,0.0013518
1s.2s,3S,1.0,3.0,905.0621,1s.5p,3P*,0.0,1.0,1151.3825,246.3204,5.03345,33600000000.0,0.0042541,0.012762,0.0001129
1s.2s,3S,1.0,3.0,905.0621,1s.5p,3P*,1.0,3.0,1151.3854,246.3233,5.03339,33600000000.0,0.012762,0.038286,0.0003387
1s.2s,3S,1.0,3.0,905.0621,1s.5p,3P*,2.0,5.0,1151.3976,246.3355,5.03314,33600000000.0,0.021268,0.063804,0.00056445
1s.2s,3S,1.0,3.0,905.0621,1s.6p,3P*,0.0,1.0,1164.997,259.9349,4.76982,19570000000.0,0.002225,0.006675,5.9052e-05
1s.2s,3S,1.0,3.0,905.0621,1s.6p,3P*,1.0,3.0,1164.9986,259.9365,4.76979,19570000000.0,0.006675,0.020025,0.00017715
1s.2s,3S,1.0,3.0,905.0621,1s.6p,3P*,2.0,5.0,1165.0057,259.9436,4.76966,19570000000.0,0.011124,0.033373,0.00029524
1s.2p,3P*,0.0,1.0,914.765595,1s.3s,3S,1.0,3.0,1069.1011,154.335505,8.03342,6400000000.0,0.018576,0.018576,0.00049302
1s.2p,3P*,0.0,1.0,914.765595,1s.3d,3D,1.0,3.0,1073.2542,158.488605,7.82291,241000000000.0,0.66334,0.66334,0.017605
1s.2p,3P*,0.0,1.0,914.765595,1s.4s,3S,1.0,3.0,1125.1691,210.403505,5.89269,2530000000.0,0.0039512,0.0039512,0.00010486
1s.2p,3P*,0.0,1.0,914.765595,1s.4d,3D,1.0,3.0,1126.8743,212.108705,5.84531,79300000000.0,0.12186,0.12186,0.0032342
1s.2p,3P*,0.0,1.0,914.765595,1s.5s,3S,1.0,3.0,1150.833,236.067405,5.25207,1251000000.0,0.001552,0.001552,4.1191e-05
1s.2p,3P*,0.0,1.0,914.765595,1s.5d,3D,1.0,3.0,1151.6954,236.929805,5.23295,36600000000.0,0.045077,0.045077,0.0011963
1s.2p,3P*,0.0,1.0,914.765595,1s.6d,3D,1.0,3.0,1165.176,250.410405,4.95124,20160000000.0,0.022228,0.022228,0.00058993
1s.2p,3P*,1.0,3.0,914.80287,1s.3s,3S,1.0,3.0,1069.1011,154.29823,8.03536,19180000000.0,0.018566,0.055698,0.00049274
1s.2p,3P*,1.0,3.0,914.80287,1s.3s,1S,0.0,1.0,1071.8138,157.01093,7.89653,24420000.0,7.6095e-06,2.2829e-05,2.0196e-07
1s.2p,3P*,1.0,3.0,914.80287,1s.3d,3D,1.0,3.0,1073.2542,158.45133,7.82475,180600000000.0,0.16577,0.49732,0.0043997
1s.2p,3P*,1.0,3.0,914.80287,1s.3d,3D,2.0,5.0,1073.257,158.45413,7.82461,325000000000.0,0.49718,1.4916,0.013195
1s.2p,3P*,1.0,3.0,914.80287,1s.4s,3S,1.0,3.0,1125.1691,210.36623,5.89373,7590000000.0,0.0039526,0.011858,0.0001049
1s.2p,3P*,1.0,3.0,914.80287,1s.4s,1S,0.0,1.0,1126.2679,211.46503,5.86311,10030000.0,1.723e-06,5.1691e-06,4.5729e-08
1s.2p,3P*,1.0,3.0,914.80287,1s.4d,3D,1.0,3.0,1126.8743,212.07143,5.84634,59400000000.0,0.030438,0.091314,0.00080782
1s.2p,3P*,1.0,3.0,914.80287,1s.4d,3D,2.0,5.0,1126.8759,212.07303,5.8463,107000000000.0,0.091381,0.27414,0.0024252
1s.2p,3P*,1.0,3.0,914.80287,1s.5s,3S,1.0,3.0,1150.833,236.03013,5.2529,3750000000.0,0.0015513,0.0046538,4.1171e-05
1s.2p,3P*,1.0,3.0,914.80287,1s.5s,1S,0.0,1.0,1151.3845,236.58163,5.24065,5020000.0,6.8899e-07,2.067e-06,1.8286e-08
1s.2p,3P*,1.0,3.0,914.80287,1s.5d,3D,1.0,3.0,1151.6954,236.89253,5.23377,27500000000.0,0.011293,0.03388,0.00029973
1s.2p,3P*,1.0,3.0,914.80287,1s.5d,3D,2.0,5.0,1151.6964,236.89353,5.23375,49400000000.0,0.033811,0.10143,0.00089735
1s.2p,3P*,1.0,3.0,914.80287,1s.6d,3D,1.0,3.0,1165.176,250.37313,4.95198,15110000000.0,0.005555,0.016665,0.00014743
1s.2p,3P*,1.0,3.0,914.80287,1s.6d,3D,2.0,5.0,1165.1765,250.37363,4.95197,27200000000.0,0.016666,0.049998,0.00044232
1s.2p,3P*,2.0,5.0,914.995993,1s.3s,3S,1.0,3.0,1069.1011,154.105107,8.04543,31800000000.0,0.018516,0.092578,0.0004914
1s.2p,3P*,2.0,5.0,914.995993,1s.3d,3D,1.0,3.0,1073.2542,158.258207,7.8343,12000000000.0,0.0066251,0.033125,0.00017583
1s.2p,3P*,2.0,5.0,914.995993,1s.3d,3D,2.0,5.0,1073.257,158.261007,7.83416,108000000000.0,0.099373,0.49686,0.0026374
1s.2p,3P*,2.0,5.0,914.995993,1s.3d,3D,3.0,7.0,1073.2761,158.280107,7.83321,432000000000.0,0.55635,2.7818,0.014766
